date,card_number,type,amount
2019-05-02,4656707505099870940,R,659
2018-03-03,4237878677310241,R,865
2018-08-28,4991931360336821275,R,540
2020-02-17,373900697897049,B,43
2017-09-21,3592829136017407,T,171
2020-07-28,574548598444,E,864
2019-03-06,6549467888824113,C,468
2018-07-23,3554172959977548,B,698
2018-04-03,3559262527589928,B,376
2018-04-21,180022240655759,R,540
2017-10-27,3524191961443106,T,920
2018-09-24,3529432238972054,E,327
2019-09-08,6011655543496181,R,951
2019-05-07,3573445271947952,F,570
2018-07-18,4912340297555020,F,707
2019-07-29,4262379634575073,E,709
2018-04-18,5262201860050521,T,402
2019-12-18,4564550239587,F,676
2019-07-04,2229862019849565,F,703
2018-04-08,6011704004412533,T,711
2017-09-18,4951199201729929,E,334
2020-04-07,3524516729361739,C,430
2020-08-10,3534163094949208,R,173
2019-02-01,3522609281341694,B,175
2019-04-26,3533882104948956,B,117
2020-04-19,3548918351467408,T,170
2018-05-07,3566087417237143,T,12
2019-09-18,4735455044257897,B,793
2020-01-24,6577579180524285,R,616
2019-06-26,213143874657266,B,699
2018-03-18,3578059529533970,B,604
2020-07-11,3513925058967326,C,680
2017-10-11,3514329772911851,B,905
2019-10-13,3552804073353691,R,271
2018-01-26,6593162450874530,C,155
2017-12-03,341591889254468,B,640
2017-12-27,4729556571820698,E,626
2018-07-16,4589147321270050,B,187
2019-07-15,3529394668722492,T,536
2019-09-23,30313968993866,C,471
2017-12-20,345316902299167,E,822
2018-10-21,3510207600213068,T,928
2020-04-04,5151387852095949,B,613
2018-07-12,180054681693304,C,596
2018-09-29,4703911308464360973,T,273
2020-06-29,4731797180078,B,947
2018-05-20,4791928177417026,E,135
2019-07-11,4134421084294406580,F,494
2019-11-24,374853619679665,B,593
2020-06-09,4436232286312,E,300
2018-04-18,4547963033110595,E,864
2019-05-26,3563818105970964,E,540
2020-06-07,373453611715459,R,709
2019-05-24,3583200787723340,T,813
2020-05-27,30065321680305,B,955
2018-06-20,3553482041558482,F,368
2019-04-01,36589571918564,C,571
2018-06-13,3582578823921395,B,339
2020-06-22,4116826356511773531,B,836
2018-01-05,4469087767509253,C,443
2019-12-18,180004977993751,E,647
2018-06-15,3504480963872899,R,197
2020-03-15,4784495340091632,R,904
2017-10-28,3574111243960239,C,400
2020-02-02,180050460956748,R,402
2017-10-24,4349708733910399813,F,220
2018-02-19,4924792065924208,E,14
2020-09-08,5258155971624366,B,295
2020-09-09,4428756076914632,B,422
2020-07-04,2227016200486586,T,414
2018-01-27,3514950852357135,E,635
2020-09-09,36113760915420,T,602
2019-05-29,2720381418905914,E,617
2020-06-22,3531150357632228,F,597
2019-05-17,6572937576700791,B,768
2018-05-16,6503466254388509,E,651
2020-01-24,3518260375092912,T,96
2018-03-15,5388817686567254,B,695
2017-11-20,213114018141046,F,305
2020-08-12,4381044652469413609,T,288
2019-01-14,30550979468806,F,533
2018-05-22,503808998481,C,401
2019-09-27,2252432013290537,F,998
2020-06-17,6011931021569447,C,497
2019-01-05,4903148598666722,E,313
2018-02-16,213167861049781,F,438
2019-11-19,4293627684183,B,959
2020-08-29,2264354009486893,C,677
2020-09-13,373732665530918,E,677
2018-12-11,30512307542306,C,490
2020-07-18,3541435617933849,E,353
2020-02-23,213129545872467,F,664
2019-07-04,6530894438509608,E,74
2020-06-18,4750368743700295667,T,909
2018-09-09,676184525860,B,589
2019-06-25,3541147523902624,R,937
2018-07-05,4072308880827,F,110
2020-03-11,4579081152755197936,T,430
2020-06-10,4797891002410638,T,232
2018-10-21,4376067244166481,R,811
2019-12-07,38330318394027,B,437
2019-05-03,4858994178207306548,B,853
2018-02-21,341208798643976,F,869
2020-02-23,4127093623800356366,R,758
2019-05-26,3519732567689944,B,124
2020-01-06,4910583432714364,E,474
2018-10-16,30010959726194,B,950
2020-07-01,6549629655592070,T,137
2018-05-31,3534654361622676,T,140
2020-09-08,3582988611362134,E,645
2019-08-12,3592718813479693,R,813
2017-11-05,3517122182922478,F,774
2019-03-24,343128206248176,B,423
2018-08-01,6543029638614933,B,566
2018-10-19,6011115941400160,E,201
2020-06-08,30536736688661,F,747
2019-09-20,3583447263456016,F,229
2018-11-03,213194159534126,T,751
2018-04-21,30383665386748,B,415
2018-12-27,4777614655549104,E,458
2020-06-30,4423446437543,F,791
2020-09-08,3582597402518570,B,51
2018-10-10,36289442736267,C,28
2019-06-18,4245967789944714,F,324
2018-04-23,30082624676377,R,911
2018-05-27,3511039346219037,T,111
2018-02-26,676192925227,F,630
2019-09-05,4042012853248042,C,533
2019-11-04,3590200228884173,B,283
2019-04-04,30536570987682,E,415
2018-12-30,4543057245300279153,C,0
2018-04-19,4263121150608360,B,996
2019-09-23,374785557613209,B,367
2019-08-13,4512443119127194,E,346
2019-11-16,576586025024,E,534
2019-10-31,4916203671018344,C,300
2018-06-15,30243783221138,C,298
2017-10-30,4797357463963367947,R,992
2017-11-15,180076205843735,F,101
2019-11-25,4076075623195,B,245
2020-03-06,4031544850938871,B,93
2017-11-10,4425575311985932491,T,55
2018-05-25,4678387406936,E,759
2020-08-22,4652320382399629,R,816
2017-12-21,344321426955170,B,234
2019-12-17,2270666386379710,B,644
2019-01-01,4816006012587557913,E,223
2019-01-18,4042073669896897859,F,960
2018-12-03,4781507563838011,C,769
2020-02-17,4574833376635,F,100
2018-10-09,4256408698524,R,271
2020-06-05,060468876515,C,257
2017-11-16,213107438997757,B,515
2018-02-26,501885170842,B,130
2018-04-14,4748735730889763,E,37
2020-02-04,4505705874203866330,B,973
2020-07-04,560186583079,R,518
2019-03-03,3535719908858247,C,564
2017-11-25,4201495462053472,R,346
2018-11-13,180007758748153,T,864
2019-12-25,4317718160185572,B,425
2019-08-20,503896469585,C,595
2020-06-22,3544843940965999,T,801
2019-01-29,4559753443134570268,R,613
2018-01-20,6571986727977536,R,656
2019-10-16,213154360687006,T,189
2018-02-19,341785667064780,C,921
2019-12-31,6011385027724367,F,785
2018-05-27,6501108386460945,C,265
2019-06-12,4348784305578165,F,80
2020-01-24,4582291820937707,T,116
2017-09-19,4673490956390265,E,260
2019-01-02,4205589481613658,R,71
2019-10-08,180058605635176,B,594
2020-08-13,3532761593922378,R,607
2020-06-27,30494136257697,F,924
2018-01-23,565805719244,T,247
2018-09-27,3557634917368893,F,322
2019-08-01,4558548080912768391,B,869
2017-11-30,379745848402817,T,964
2019-06-20,30132261464205,F,348
2018-11-27,4335663963540,C,54
2020-03-22,6502147136224358,C,102
2019-07-12,213135950344686,F,893
2018-01-17,3532896576638482,E,624
2019-10-28,30358420734549,C,925
2018-03-23,5336597836909316,E,683
2020-04-21,587935761623,T,633
2020-07-25,4010353275925330,F,792
2020-02-25,2262542304952609,R,131
2018-12-25,371154538748399,E,408
2018-04-13,3532801579425812,T,377
2019-02-11,3525097590386286,E,26
2020-03-14,4264817061262499,T,804
2020-02-20,379489469471716,R,318
2019-05-12,4518539075436927,E,619
2017-12-19,2278861392519878,T,578
2018-02-18,4538987102335099,B,209
2019-04-21,3580997225805596,T,567
2018-09-16,502022402254,T,988
2019-10-04,3547970184844460,T,500
2019-10-26,213198413697454,T,43
2020-06-08,565114196209,T,371
2019-01-14,3535742750326477,B,421
2019-05-10,4811520944919792,E,367
2019-01-13,4706976203299714,B,61
2019-02-08,180051590364688,R,428
2019-10-27,675933803032,T,574
2018-09-25,4072562251368,T,473
2020-05-03,4511669759742085959,R,796
2019-04-16,4378843862603938242,T,490
2019-03-12,4137124479905461,R,115
2019-05-01,676140016293,C,318
2019-01-05,5547885280198287,B,612
2018-09-10,30052826375466,F,70
2020-04-19,2322432393591096,F,458
2018-09-26,6011606749240121,C,885
2020-08-17,213147103097871,B,921
2019-09-16,676288018622,T,328
2019-04-27,4839234270772,F,766
2017-12-09,4379020740405686,R,673
2019-08-02,6573075077926877,T,210
2020-05-09,502033572160,B,412
2018-03-22,3511670757193558,B,682
2018-05-20,30354955731927,T,605
2019-01-27,3563331134286337,C,931
2018-12-19,378128868370878,R,852
2020-09-09,4223670343682574,F,33
2018-10-17,3506787112975219,T,140
2020-03-15,6011030413819799,F,421
2019-12-13,4993833417787,C,223
2020-08-09,4681004914142,E,61
2018-03-23,213121018167327,E,376
2018-01-20,4718392103765455,E,101
2018-03-14,5295374236777233,R,18
2018-10-16,4812892884889676,F,166
2020-05-20,371630256269213,F,815
2018-05-11,2230306245482277,T,794
2018-03-27,3572333130198135,E,169
2020-06-16,2302872124773022,B,932
2018-10-27,3532172438885772,B,639
2018-09-23,30084859512988,C,213
2018-06-24,3554226763659450,C,303
2018-05-30,6563607186363824,F,481
2019-11-12,3512908074666073,T,554
2018-08-29,3597814526428542,T,584
2017-11-04,377886997017287,T,922
2019-04-14,675998225881,R,114
2019-11-19,30575161181073,B,30
2018-12-04,4921501318789592444,T,552
2019-05-31,4629527544143985557,F,13
2019-08-05,3523516628408111,F,289
2019-10-18,4350356630550489677,R,111
2017-11-29,4539931242993960,C,411
2018-05-16,4024215326132177276,C,378
2019-09-17,6519270400979944,F,825
2018-05-21,502087735994,T,698
2018-06-18,30477774639888,C,630
2020-03-24,676321064708,B,638
2019-10-12,2298019119779541,R,884
2018-02-15,6508447082158715,R,771
2019-01-29,4012253950259455930,F,912
2020-01-25,378062133465116,C,343
2020-02-03,36255102487913,E,29
2018-09-21,4504205332063203,E,676
2020-07-22,3591296297106521,F,202
2018-07-26,30084711562130,T,185
2018-05-05,38282577416134,F,657
2018-11-11,3507531325773980,R,27
2019-04-21,4227506763516361,T,829
2020-08-20,3507153919000454,R,952
2019-03-11,213120073857814,R,999
2019-03-08,3534908243911602,T,253
2019-07-16,4756499569179,B,802
2019-03-26,4640957682940721696,B,606
2019-08-25,588362425062,B,829
2017-12-15,6571036666378112,C,941
2017-11-30,6589735918352656,B,518
2019-07-20,6550788857077995,C,717
2018-03-23,4207405929745507,F,476
2018-01-22,4954647952519870,R,7
2019-12-11,5203129737305814,B,409
2018-02-09,4522885702164596,C,988
2018-01-02,4916434621498191,E,539
2020-09-08,4144624670696991247,R,626
2019-04-21,584150165325,C,589
2020-05-02,4792541561351,F,429
2020-04-24,4769744157735057,E,728
2020-05-10,2298790611399919,B,273
2020-01-01,2356088783543219,B,929
2018-05-20,30262213270366,R,836
2019-11-24,30411605767139,C,921
2018-08-02,4135612869903698197,C,134
2020-05-28,30332852840504,B,233
2017-12-06,3556198693391470,B,66
2019-11-11,4820928212596917531,F,833
2019-09-17,4666768108150870175,B,633
2018-05-19,4398030914121271,B,873
2020-04-19,30306088256651,E,85
2017-12-05,3572472853427584,B,674
2019-05-03,4333612966797393,C,858
2020-04-17,340108310815105,B,587
2020-06-13,3544781738280876,C,808
2020-02-05,4928526053108770,C,6
2020-07-20,30119900016207,B,653
2019-04-28,30489079066162,C,769
2018-07-25,3547796476901225,F,823
2020-01-23,503831008860,R,804
2018-11-18,3517840853753795,T,899
2019-11-09,2252946035351068,F,338
2019-01-20,348730453506761,C,245
2017-09-23,30210886521060,C,113
2020-03-19,5577833762602510,C,908
2020-08-12,2296783781816756,E,139
2019-04-01,3521726453304408,E,821
2019-09-19,4286347679541,R,149
2018-04-28,4077464689943185606,F,9
2018-05-13,372230861202334,C,594
2019-01-23,502065398849,B,860
2019-03-11,30120718838782,F,362
2018-12-06,2256500680816093,F,899
2020-05-13,213105829309004,R,574
2018-04-25,3590549173329711,R,725
2019-05-29,6568788447323529,F,411
2017-09-25,6578892643455289,T,610
2020-07-24,4018948182220752298,F,312
2018-01-25,4979763044794198,B,24
2020-09-09,4268024386236,E,815
2019-07-03,639005287490,B,853
2020-07-03,3570046225145371,C,755
2018-08-16,4361418313055088,T,999
2018-09-03,676174188265,B,586
2018-12-22,3593593660188096,R,877
2020-04-06,4906669076313128585,F,747
2017-12-29,4514543366387818086,F,81
2019-08-20,180067011388684,R,136
2017-10-14,4665446826156039,T,246
2019-09-04,2296341475778509,R,483
2017-12-14,4870163671233434490,E,833
2020-03-20,3547537340355788,F,698
2019-11-15,4708886615922985,R,279
2018-05-19,30024779339476,B,125
2020-05-31,30434161517102,F,215
2020-04-19,3504187591590500,F,463
2018-02-27,5553276170564344,B,132
2019-05-22,4689741864287662794,T,30
2020-04-06,3576201418368520,R,658
2019-02-28,3527069348926828,T,218
2018-01-20,4337137347205235,T,973
2018-03-20,4453811415688163191,C,778
2018-04-20,4576197039976204,T,408
2019-12-16,3569966264872689,E,772
2019-03-17,30295975220757,T,680
2020-02-13,180041150384143,T,581
2019-06-24,371236536409189,B,285
2018-07-23,4552470834552050,F,514
2019-10-11,4474434072196810681,C,112
2019-10-19,343792969399540,C,866
2018-01-24,38182619173505,C,860
2019-04-16,30179431066923,T,165
2020-07-23,4794305619205391,B,478
2019-11-04,3567102777081814,E,728
2018-05-16,676153031148,F,39
2020-01-18,2432069232920362,R,228
2020-01-24,3583228840029132,B,607
2020-08-05,30152923964772,T,581
2018-10-17,180000289115075,C,448
2018-08-13,4112159788061415,C,1000
2018-12-16,6534419556183618,E,547
2019-07-21,374809334390855,C,193
2019-02-20,3545939005894154,T,855
2018-07-15,4126337373335477,B,924
2019-12-09,3585872388662081,R,949
2019-06-18,6537469911654271,F,942
2019-06-16,370955993352654,C,194
2019-09-17,213106861626065,T,153
2017-11-13,3599430015786064,C,829
2018-09-15,639077455751,C,280
2018-10-21,3531047908751020,C,897
2020-01-11,30513574826323,C,384
2017-11-26,575889181443,R,583
2018-01-19,30395301907745,C,786
2020-03-10,6011773524105901,F,766
2020-02-04,4908139851547934505,T,132
2019-10-12,4491383420253393,F,190
2020-01-06,3570854603834940,T,100
2018-06-26,213158872565030,C,973
2019-07-13,213143397199382,B,628
2019-08-16,30340709630499,F,636
2019-09-07,2704056122130245,B,744
2018-07-05,180026585181107,B,76
2019-02-15,4279078678600,B,904
2018-08-28,2418059370321158,B,370
2018-09-24,4854296201566042,C,483
2018-11-05,3534806438183179,R,192
2020-03-20,4075006474670488823,T,960
2019-08-31,348007247048602,C,755
2018-07-06,060467837518,B,422
2019-03-02,6590722006526323,F,104
2017-11-24,6555526164344806,E,279
2017-11-15,3561453304095512,C,178
2018-01-18,4194177093881930,T,937
2017-11-28,370347716402802,F,182
2019-05-04,3530919891316964,E,759
2018-01-15,676345001538,B,119
2020-06-03,5466180985123765,F,28
2017-10-15,630436886158,C,106
2020-04-06,370192687658705,B,567
2019-03-24,376200568511762,E,812
2019-06-17,2239466700829403,E,772
2018-08-03,180082208861039,E,214
2019-02-11,4476899057793129,B,229
2018-11-18,180048639379636,R,158
2017-11-24,30306559778159,T,10
2017-11-03,676346912147,B,414
2018-06-24,213164408869862,B,37
2020-06-25,6599371262454134,T,921
2018-05-25,5490830939157273,F,934
2019-01-14,630405495627,C,480
2018-05-02,213199394525185,C,327
2020-06-01,4209299438153,F,366
2018-03-13,2298298935248200,F,880
2019-10-17,4193874428112879627,T,662
2018-07-16,30376776021196,F,304
2019-02-07,4115337683595,B,199
2019-09-26,3515187616619026,C,737
2018-04-03,343511305919625,T,334
2018-10-16,213181730052173,T,671
2018-05-30,343636105585282,F,538
2019-01-04,4939086097685,T,329
2020-02-12,2391107590478893,E,68
2019-06-23,6545822187264458,F,924
2019-05-29,36482531265773,B,677
2018-08-23,502015837540,T,964
2020-05-26,30125983590018,F,76
2019-05-09,676311047069,E,306
2019-08-27,4568960264987828,E,108
2019-11-07,4909003827373,R,769
2019-01-03,4576451384686565,C,730
2018-01-06,180022298148889,T,724
2019-08-27,2720299845393936,E,872
2018-08-24,30351108161994,T,352
2020-02-03,5294386651492628,C,456
2019-02-28,3569343020315645,R,505
2019-03-21,36132126049666,F,426
2018-08-14,4438707768076975016,R,976
2020-04-16,4634004783674318,T,134
2019-03-30,377089377841075,E,816
2019-06-13,6011973088262938,R,196
2018-04-23,6011619594886468,E,531
2020-07-22,3561868305507498,F,560
2019-11-09,676224929213,E,478
2018-03-08,4110653077902,C,875
2019-03-01,4615457031974922019,T,615
2019-03-26,4268110003017098,C,369
2018-03-12,213134409487501,E,703
2019-01-30,30066809807279,F,139
2018-04-25,4780638001688,R,303
2019-01-23,4123661520608533,B,871
2020-05-24,373917686081195,R,193
2017-09-25,4281041545977288,E,918
2018-03-04,30269854739336,R,174
2018-07-14,060499766347,B,240
2018-10-02,30461797993993,T,370
2019-05-01,3502030268275777,B,920
2017-12-30,30269422945357,R,45
2017-11-05,4159858448339265484,F,403
2019-03-03,30092789419406,R,844
2019-12-12,060496253711,C,942
2018-09-20,3516783995334184,F,95
2020-02-17,4770278207711,B,799
2019-04-19,4754954024848,B,985
2019-09-04,348780719987230,F,267
2019-05-19,3540262456111241,T,142
2018-12-08,349057102587276,B,941
2018-06-07,5489799323328407,F,362
2019-10-10,180058608611729,F,396
2020-07-30,213198408479611,R,860
2020-03-24,4440750131680044335,E,304
2019-08-13,3500236330295477,F,478
2018-03-15,3530771013599815,B,440
2018-07-17,4731900734030986195,F,433
2017-11-29,3539744507094685,E,481
2019-05-28,6551975394430220,R,313
2018-03-06,4919967506259367,C,124
2018-10-30,4004488152473695,F,891
2018-11-22,4469200091737140,C,820
2020-03-01,4620822857380,T,143
2020-03-14,581186514641,T,61
2020-07-08,30105373797589,R,935
2019-09-27,3558924885814278,F,37
2017-10-25,4037914701477,T,730
2019-10-13,4784816286954,E,416
2020-08-09,4908980220867,R,373
2019-02-08,4009963530780156,F,612
2019-05-23,6011261136030568,R,859
2019-10-20,3558386996354554,T,208
2019-05-08,3582817760813144,F,586
2019-06-02,6011797768101532,C,386
2020-05-21,3506395082371854,F,600
2018-11-15,6011459262198783,R,364
2018-06-07,4361874922391225,C,234
2018-06-19,3589908122496372,T,960
2020-07-24,3521385234726767,F,622
2019-03-13,6569257549258511,B,174
2018-02-01,213154877866242,C,664
2019-08-20,2675267439906715,E,967
2019-12-03,4592723453607445,B,392
2019-04-03,4902622601949,T,405
2018-06-05,676374569686,C,290
2019-12-09,4375097559418384,E,282
2020-07-18,180056133478622,T,882
2019-01-15,3501495319444527,B,429
2020-01-06,6011595974929690,B,179
2018-03-29,4035721036517839,C,443
2020-05-17,6586163213470359,B,947
2018-08-16,348901569422512,T,316
2019-09-17,4915347208519,B,129
2017-12-27,4015398012006295942,E,202
2019-10-08,30095694688064,T,62
2019-02-02,4374268666395614,B,955
2020-06-11,6011590617044742,C,987
2018-08-15,639074813846,R,36
2020-07-10,4454199319098953,E,451
2018-08-23,6011248832148737,E,730
2018-11-02,4601086613446,B,579
2020-07-22,30583906302772,C,99
2018-12-03,346567004165263,E,346
2020-01-22,2682875520387198,R,759
2019-02-06,2624224136461025,B,446
2018-07-14,4923642631179,B,326
2020-05-20,3537495129515522,C,619
2020-01-29,3584800825385330,E,505
2018-12-19,4025744654136254,T,636
2018-08-10,4343236275632,C,970
2018-01-31,4444817140193,E,166
2018-02-18,4175997158523561,B,598
2018-10-03,30579719855683,R,936
2018-04-15,349399373155031,T,62
2019-02-05,343347711632340,B,320
2017-11-18,345692933957555,F,728
2018-06-22,6011832693239741,B,303
2018-11-24,4100783778727,B,701
2019-03-05,2281950882064068,T,192
2020-09-01,213129337338255,C,401
2019-11-17,5390316626005919,E,198
2017-11-29,639015055317,C,37
2019-07-29,344733395431100,E,25
2020-02-29,379193626927822,E,171
2019-12-02,4143640125419,E,981
2018-03-11,4454654996129117,F,903
2018-06-28,4360786252001177,E,481
2020-08-20,3577648132498588,F,541
2019-08-07,3514162704822742,C,851
2018-11-08,376323695546301,E,892
2019-08-22,6580904529883314,F,595
2019-03-24,4475726387142904352,F,583
2019-02-07,346507140541274,T,199
2019-08-30,4156735525745779,F,958
2018-08-23,5251316585659431,B,266
2018-01-27,502000221122,B,214
2019-03-21,3505132526887059,E,77
2019-11-05,30582797854990,C,936
2018-07-21,3587415716831792,T,429
2019-10-10,2242722519981636,F,702
2020-05-10,4399276991785,F,925
2019-10-03,4755603010413912,B,930
2020-04-22,6011067269100577,T,842
2020-02-13,4322180992327,B,291
2020-03-09,30085948206714,E,377
2019-12-09,4864761322267505,R,71
2020-09-08,38123757772302,B,895
2018-09-05,4668628037911357592,T,478
2020-07-04,213190892618150,R,557
2017-11-29,3512868325538333,R,756
2018-06-16,676108215333,F,679
2020-05-04,373964154896001,T,841
2020-05-04,4724312679170098,B,871
2018-01-10,342777169638772,R,227
2019-06-28,639028555808,E,403
2019-04-28,30086244415082,C,14
2019-12-10,4688916240326,R,416
2020-08-09,30264087780215,E,424
2019-07-25,4763239107657077,C,777
2020-01-09,213100660605818,C,921
2017-09-25,4636633231928609,B,884
2018-03-11,379019199693451,E,558
2020-04-02,213109897576866,B,524
2019-03-17,4415115509350952428,C,494
2018-09-10,30056820864524,T,848
2019-05-18,4659610975807530,F,859
2018-10-28,4327712995339064,E,54
2018-11-01,2711243139799573,E,98
2018-11-30,4946939942820590775,R,651
2019-11-23,6011416430993354,R,821
2019-11-11,4250528783274,B,911
2020-08-18,4013358606429776,T,98
2018-01-07,38940796762790,C,353
2019-12-07,4079734596817371,T,145
2018-07-31,377000067163001,F,423
2018-01-05,180037583566272,B,149
2019-09-16,213105533405791,E,97
2018-03-17,3511662519917911,C,33
2019-07-03,4227110649824,R,91
2018-05-07,6528648015840537,T,143
2019-12-21,4519762891542,C,121
2018-02-23,4351781705725556,F,22
2020-08-04,3576275109979696,C,987
2018-08-24,2718664407359886,E,112
2020-05-29,347153296258261,R,808
2019-09-08,4005985601945313,C,338
2020-06-14,4940285240152423,T,841
2018-05-16,30381000500163,E,465
2019-01-14,6545558568405381,C,994
2018-04-02,4732360822159179,B,658
2018-05-13,3546993064466809,T,4
2020-01-16,060432288292,E,803
2018-09-10,676345618562,B,190
2019-12-28,501888892459,B,986
2020-05-13,180059659104960,R,536
2019-04-03,4952305121426,B,629
2020-03-11,36063456853353,T,92
2018-03-18,374390067481138,C,389
2019-02-16,30151666209833,R,848
2018-05-30,4306850669331,T,182
2018-09-28,3510584138756952,E,595
2020-06-12,4246269162512,T,573
2019-06-15,3572551067455687,E,496
2018-08-26,4999840087430,E,718
2017-12-03,5157346664983266,C,832
2018-10-07,3555557788624940,F,642
2017-11-19,4130431084054727,E,315
2020-02-25,3587882697626329,F,657
2019-11-11,4200879713011465,E,953
2017-12-27,3571098474941926,F,737
2019-02-23,4343983442311267,F,438
2020-09-02,30547142018658,B,148
2020-06-06,4701147109730161,C,421
2019-05-05,4045014713184489,T,949
2019-05-07,4512823832036638584,T,477
2019-05-31,4987052517889,R,812
2017-10-12,180084291050389,E,750
2020-04-23,2481767777136829,T,604
2020-08-01,4152695163139798,F,48
2020-07-15,4262810689837344052,F,459
2020-07-05,3597286093399911,C,259
2020-08-03,4640093224463918360,B,538
2017-11-23,371662434365001,C,209
2019-07-16,2705358332408489,T,282
2018-12-30,4089709010842536544,B,303
2020-08-03,579313289624,T,914
2019-11-28,375317761432983,B,906
2017-12-10,370036408780951,B,759
2018-04-09,4369176302367763,C,789
2019-02-25,2228518359078667,R,278
2019-03-09,4375705846993056,B,995
2020-02-23,4359430834560,B,825
2020-01-29,2464633561467807,F,223
2020-08-11,4024923088017804928,F,688
2017-12-14,4494930592077,E,432
2018-09-02,4582287082824138,E,531
2019-09-12,3539047588240221,E,373
2020-08-04,4321947031866,B,61
2018-09-18,2458275925985070,T,265
2020-07-12,6576914497009517,T,18
2019-02-20,3503169767111494,B,642
2018-08-02,180011265767151,B,945
2020-03-02,30220257575611,T,49
2019-12-03,3595834469997743,T,901
2018-11-04,180078743022103,R,907
2017-11-22,4529238111291787,F,297
2020-09-07,3534484586376670,B,500
2019-11-29,3512017245237689,R,871
2019-04-18,213132824963510,C,409
2019-05-12,2223007482002864,F,413
2017-12-15,4174064866568,B,910
2018-12-06,4358422828077,E,30
2020-05-25,3528352453523955,B,841
2020-08-25,348454078986940,E,305
2018-02-09,2283060978048302,B,391
2020-05-23,4696950069423652,B,81
2018-07-25,30248026548940,T,797
2017-11-30,2250788265707565,B,67
2019-03-24,3561877920465479,F,235
2020-06-23,4873377674566946,C,370
2020-04-14,2319024510833488,F,496
2020-05-08,180013086361420,T,164
2019-09-05,4396597509328129603,C,73
2018-02-20,3586075755939921,R,354
2020-01-26,4303747977209,C,145
2020-05-30,4921219820051575,T,483
2020-04-05,2289772127653428,C,153
2018-01-31,6568754187723534,E,962
2019-11-16,2298190742856400,E,921
2018-10-12,6508644367651659,T,488
2020-01-13,3512665876256848,B,439
2020-02-29,503873621398,E,496
2018-08-04,675940589244,R,681
2017-11-29,675979062113,F,431
2017-11-16,3503954736412382,C,608
2020-03-24,3505256358128298,F,608
2020-08-14,4030835638244103017,C,790
2020-01-05,343531153236336,R,588
2018-12-12,6011885151595194,C,115
2017-11-15,30102294034762,E,702
2019-05-17,213172088698568,T,989
2018-01-08,180074448917952,C,816
2020-02-03,4922752532554998,C,672
2019-09-24,4297058459101244,T,665
2019-06-14,340428553955198,E,928
2017-10-31,347612074433867,C,595
2018-10-21,4579253293323570,R,977
2019-01-01,180078154281750,T,363
2019-10-05,4938633649824,R,443
2020-05-06,4502015981575,T,616
2019-04-05,30550532028444,E,828
2020-03-29,4426269714404347135,E,199
2020-08-17,4651106836139,B,165
2019-05-18,6011077222882500,B,768
2018-02-23,3565388278187091,R,764
2020-05-19,4686923981726199,R,688
2018-12-11,30084308273331,E,208
2020-05-05,213180363611628,T,484
2020-04-04,30427634572878,E,651
2019-10-25,5269053481072357,T,162
2018-12-24,4738029900664137,E,567
2020-03-29,30505512321045,E,599
2019-03-02,180068062957518,E,752
2019-05-08,675939463963,F,446
2019-06-15,4797792680015060864,B,512
2018-10-08,4856085263623,E,909
2019-08-29,6576468745297028,B,808
2018-10-03,3577626856849178,E,394
2020-05-02,6011020668332960,E,922
2019-04-28,30389197227730,C,10
2019-06-12,340993440443997,R,76
2020-02-07,2255567817342567,C,22
2018-03-27,3516467102299502,R,866
2020-01-27,4464052169819762,E,670
2019-03-09,4644716311338,B,48
2018-11-04,378023807351636,B,195
2018-05-26,4776381525067136,F,934
2019-03-02,4551610700351,R,53
2019-10-14,6011046743355288,E,971
2019-07-13,501881079849,B,944
2017-11-13,676241622536,B,287
2019-03-19,676139264466,R,300
2017-12-09,4296854449422886834,F,231
2019-09-13,6500706431047723,F,355
2018-08-31,30390320783789,F,173
2018-10-22,3537426606587312,E,439
2018-02-28,2307608749876138,B,985
2019-08-30,4132324588301249,E,620
2019-10-18,4339364951232978,B,669
2019-04-15,4039127174062,B,966
2020-06-04,372881433068361,B,723
2019-06-16,6011997690827945,C,537
2020-04-06,6011618089823846,T,845
2019-02-23,2246725131398630,F,409
2018-07-01,30018571092994,T,482
2020-08-25,6593927524200569,C,894
2020-06-21,6011237467919819,E,434
2019-05-28,4749211831985619031,C,287
2020-04-23,378621270138644,F,647
2020-04-30,4157901434307122478,C,371
2020-01-20,3511039802146732,E,191
2017-10-19,4997198261998354,F,758
2020-06-10,3569298669448919,B,673
2019-06-26,213173777554914,F,532
2019-06-10,30076173838206,E,142
2018-10-31,6526377710612726,R,948
2020-05-18,6560188370014948,E,69
2019-05-13,36425831396848,R,14
2019-10-04,4675088832753777,R,484
2018-08-03,344328542841994,E,289
2017-09-30,213115054939623,E,918
2018-07-02,3534580920138344,T,116
2020-07-06,3564576927753443,T,98
2020-02-23,3550002302336387,R,999
2019-06-28,5104526025923689,F,467
2018-12-15,4555838996659,E,96
2020-07-26,3515575722886119,E,395
2018-05-16,565451177382,B,337
2019-04-25,38738816083365,B,53
2019-05-12,4085681303209,B,70
2019-05-19,5490091915913821,E,610
2019-01-03,4809958394124,T,999
2017-10-04,345070372635679,C,958
2019-08-12,4519623022893014726,E,852
2019-07-10,30076664951997,T,887
2018-07-08,6587689878731577,F,835
2019-07-21,4671487729644038,F,313
2020-05-18,630413555065,B,799
2018-07-27,4540808716248419,B,73
2018-12-02,4917230960601252107,T,2
